city|location|price|bedrooms|baths|size
Lahore|Formanites Housing Scheme, Lahore|17000000|3|5|1125
Lahore|DHA Phase 7, DHA Defence|59000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|71400000|5|6|5400
Lahore|Johar Town, Lahore|18200000|5|5|1125
Lahore|Architects Engineers Housing Society, Lahore|45000000|5|5|4500
Lahore|Bahria Town - Ghouri Block, Bahria Town - Sector B|50000000|5|7|4500
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|58000000|5|6|4500
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|65000000|5|6|4500
Lahore|DHA Phase 4 - Block DD, DHA Phase 4|73000000|5|6|4500
Lahore|Bahria Town - Block AA, Bahria Town - Sector D|35000000|5|6|2250
Lahore|Bahria Town - Sector D, Bahria Town|27500000|3|4|1125
Lahore|Bahria Town - Sector C, Bahria Town|22500000|3|4|1125
Lahore|Bahria Town - Sector E, Bahria Town|34000000|5|6|2250
Lahore|Bahria Town - Sector E, Bahria Town|41500000|5|6|2250
Lahore|DHA Phase 5 - Block D, DHA Phase 5|26500000|3|4|1125
Lahore|Bahria Town - Overseas A, Bahria Town - Overseas Enclave|47000000|5|6|2250
Lahore|Bahria Town - Talha Block, Bahria Town - Sector E|30000000|5|6|2250
Lahore|Gulshan-e-Lahore, Lahore|21000000|5|6|1778
Lahore|DHA Phase 6, DHA Defence|217500000|6|7|9000
Lahore|Askari 10 - Sector F, Askari 10|45500000|4|5|3038
Lahore|DHA Phase 6, DHA Defence|73500000|5|6|4500
Lahore|Lake City, Raiwind Road|195000000|6|8|9000
Lahore|Askari 11, Askari|26500000|3|3|2250
Lahore|Lake City - Sector M7 - Block A, Lake City - Sector M-7|30000000|4|4|1575
Lahore|Nasheman-e-Iqbal Phase 1, Nasheman-e-Iqbal|37000000|6|7|2250
Lahore|Gulberg 2, Gulberg|85000000|5|6|4500
Lahore|DHA Phase 5, DHA Defence|57000000|4|5|2250
Lahore|DHA 9 Town, DHA Defence|26500000|3|4|1125
Lahore|Architects Engineers Housing Society, Lahore|46000000|5|5|4500
Lahore|Architects Engineers Housing Society, Lahore|48000000|5|5|4500
Lahore|Bismillah Housing Scheme, GT Road|8800000|3|3|675
Lahore|Bismillah Housing Scheme, GT Road|26000000|4|5|1350
Lahore|Bismillah Housing Scheme - Block B, Bismillah Housing Scheme|17500000|5|4|1125
Lahore|Bismillah Housing Scheme, GT Road|16000000|5|6|1125
Lahore|Punjab Small Industries Colony - Block G, Punjab Small Industries Colony|22500000|4|5|1575
Lahore|Gulshan-e-Lahore, Lahore|19500000|5|6|1125
Lahore|Divine Gardens - Block D, Divine Gardens|29500000|3|4|1800
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|51500000|4|5|2250
Lahore|Divine Gardens - Block C, Divine Gardens|36500000|4|5|2250
Lahore|DHA Phase 5 - Block B, DHA Phase 5|65000000|4|5|2700
Lahore|Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue|55500000|4|5|2250
Lahore|DHA Phase 7, DHA Defence|75000000|5|6|4500
Lahore|Bahria Town - Overseas Enclave, Bahria Town|100000000|5|6|4500
Lahore|Johar Town Phase 1, Johar Town|75000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|209000000|6|7|9000
Lahore|Bankers Co-operative Housing Society, Lahore|20000000|3|4|1125
Lahore|State Life Phase 1 - Block F, State Life Housing Phase 1|35000000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|450000000|6|7|9000
Lahore|DHA Phase 7, DHA Defence|57900000|5|6|4500
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|Bahria Town - Ghaznavi Block, Bahria Town - Sector F|46500000|6|6|2430
Lahore|DHA Phase 6, DHA Defence|350000000|5|6|9000
Lahore|Pak Arab Housing Society, Lahore|14800000|4|4|900
Lahore|Architects Engineers Housing Society, Lahore|49000000|5|5|4500
Lahore|Architects Engineers Housing Society, Lahore|53000000|5|5|4500
Lahore|Ferozepur Road, Lahore|4000000|2|1|675
Lahore|Bahria Town - Nargis Extension, Bahria Town - Sector C|31500000|5|6|2250
Lahore|Bahria Town - Sector B, Bahria Town|29500000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|39800000|5|6|2250
Lahore|Punjab Small Industries Colony, Lahore|22000000|5|5|2250
Lahore|DHA Phase 5 - Block L, DHA Phase 5|54500000|5|6|2250
Lahore|Bahria Town - Sector F, Bahria Town|45000000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|120000000|5|6|4500
Lahore|Bahria Town - Safari Villas, Bahria Town - Sector B|15000000|2|3|1350
Lahore|Air Avenue - Block M, DHA Phase 8 - Ex Air Avenue|53500000|4|5|2250
Lahore|DHA Phase 6 - Block J, DHA Phase 6|41500000|4|4|1575
Lahore|DHA Phase 5, DHA Defence|61500000|5|6|2250
Lahore|Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue|53000000|4|5|2250
Lahore|DHA Phase 6 - Block E, DHA Phase 6|110000000|5|6|4500
Lahore|Allama Iqbal Town - Badar Block, Allama Iqbal Town|35000000|4|5|2250
Lahore|Askari 10 - Sector F, Askari 10|96000000|5|6|3825
Lahore|DHA Phase 6 - Block L, DHA Phase 6|99500000|5|6|4500
Lahore|DHA Phase 7 - Block X, DHA Phase 7|64000000|5|6|4500
Lahore|Pak Arab Housing Society, Lahore|17000000|3|5|1125
Lahore|Allama Iqbal Town, Lahore|38500000|5|5|2250
Lahore|DHA Phase 6 - Block D, DHA Phase 6|43000000|4|5|1575
Lahore|Bahria Town - Talha Block, Bahria Town - Sector E|4799000|1|1|338
Lahore|DHA Phase 6 - Block K, DHA Phase 6|113000000|5|6|4500
Lahore|DHA 11 Rahbar Phase 2 - Block L, DHA 11 Rahbar Phase 2|23000000|3|4|1125
Lahore|Johar Town, Lahore|18500000|5|5|1125
Lahore|Central Park - Block A, Central Park Housing Scheme|26000000|5|6|2250
Lahore|Air Avenue Luxury Apartments, DHA Phase 8|14500000|2|2|1012
Lahore|Bahria Town - Sector D, Bahria Town|16000000|3|5|1125
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|29000000|5|7|2250
Lahore|DHA Phase 6, DHA Defence|94000000|5|6|4500
Lahore|Air Avenue - Block N, DHA Phase 8 - Ex Air Avenue|46500000|4|5|2250
Lahore|Air Avenue - Block L, DHA Phase 8 - Ex Air Avenue|52500000|4|5|2250
Lahore|Air Avenue - Block P, DHA Phase 8 - Ex Air Avenue|82500000|5|6|4500
Lahore|DHA Phase 6 - Block D, DHA Phase 6|42500000|4|5|1800
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|61500000|5|6|2250
Lahore|Khuda Buksh Colony, Cantt|24000000|4|4|1575
Lahore|Khuda Buksh Colony, Cantt|39500000|6|6|4500
Lahore|Askari 10 - Sector E, Askari 10|44000000|4|5|2250
Lahore|Bedian Road, Lahore|7900000|2|2|855
Lahore|Park Avenue Housing Scheme, Lahore|3744000|0|1|292
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|52000000|4|5|2475
Lahore|DHA Phase 7, DHA Defence|68500000|5|6|4500
Lahore|Park Avenue Housing Scheme, Lahore|6290000|2|2|1125
Lahore|SA Gardens Phase 2, SA Gardens|17500000|5|5|1800
Lahore|Park View City - Tulip Block, Park View City|17000000|3|3|1125
Lahore|Park View City - Tulip Overseas, Park View City|16200000|4|5|1125
Lahore|Park View City - Tulip Block, Park View City|23000000|4|5|1350
Lahore|Park View City - Tulip Block, Park View City|15500000|4|4|1125
Lahore|PIA Housing Scheme, Lahore|36000000|5|5|2250
Lahore|Johar Town, Lahore|19000000|5|5|1125
Lahore|State Life Housing Phase 1, State Life Housing Society|41000000|5|6|4500
Lahore|Valencia Housing Society, Lahore|39000000|0|0|2250
Lahore|Bahria Town - Block BB, Bahria Town - Sector D|17500000|3|4|1125
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|37000000|5|5|2250
Lahore|Bahria Town - Overseas B, Bahria Town - Overseas Enclave|43000000|5|5|2250
Lahore|DHA 9 Town, DHA Defence|47000000|4|5|1800
Lahore|DHA 9 Town, DHA Defence|41500000|4|5|1800
Lahore|DHA 9 Town, DHA Defence|41800000|4|5|1800
Lahore|DHA 9 Town, DHA Defence|35000000|3|4|1575
Lahore|DHA Phase 6, DHA Defence|57500000|4|4|1800
Lahore|DHA Phase 5, DHA Defence|69000000|5|6|2250
Lahore|DHA Phase 6, DHA Defence|95000000|0|0|4500
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|72500000|5|5|4500
Lahore|Gulberg, Lahore|40300000|3|3|1755
Lahore|Bedian Road, Lahore|50000000|2|3|18000
Lahore|Bedian Road, Lahore|7800000|3|4|675
Lahore|Bedian Road, Lahore|12000000|1|1|18000
Lahore|Park View City - Tulip Extension Block, Park View City|30000000|5|5|2250
Lahore|DHA 9 Town, DHA Defence|19000000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|51200000|5|6|4500
Lahore|Formanities Housing Scheme - Block LL, Formanites Housing Scheme|15000000|3|4|1125
Lahore|Formanities Housing Scheme - Block LL, Formanites Housing Scheme|17000000|3|4|1125
Lahore|State Life Phase 1 - Block B, State Life Housing Phase 1|43000000|5|6|4500
Lahore|PIA Housing Scheme, Lahore|37000000|5|5|2250
Lahore|Johar Town Phase 2, Johar Town|27000000|3|4|1462
Lahore|DHA Phase 8 - Block C, DHA Phase 8|85000000|6|7|4500
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|91500000|5|5|4500
Lahore|Bahria Town - Tulip Block, Bahria Town - Sector C|49000000|5|5|2250
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|58000000|5|6|4500
Lahore|Johar Town, Lahore|35000000|5|6|2700
Lahore|Jora Pull, Lahore|5500000|3|3|450
Lahore|DHA Phase 6, DHA Defence|88800000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|87700000|5|6|4500
Lahore|Bahria Town - Umar Block, Bahria Town - Sector B|17500000|3|4|1125
Lahore|DHA Phase 4 - Block GG, DHA Phase 4|46000000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|47000000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|88800000|5|6|4500
Lahore|DHA Phase 1 - Block J, DHA Phase 1|36000000|4|5|2250
Lahore|DHA Phase 6 - Block K, DHA Phase 6|370000000|6|7|9000
Lahore|Lake City - Sector M-7, Lake City|22500000|4|5|1125
Lahore|DHA Phase 7, DHA Defence|64900000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|72900000|5|6|4500
Lahore|Bahria Town - Iqbal Block, Bahria Town - Sector E|6700000|1|1|540
Lahore|Bankers Housing Society - Block B, Bankers Co-operative Housing Society|21000000|3|4|1462
Lahore|Paragon City, Lahore|31000000|4|5|1575
Lahore|Bahria Town - Overseas Enclave, Bahria Town|29000000|5|6|2250
Lahore|Bankers Town, Lahore|36000000|4|5|2250
Lahore|Cantt, Lahore|49000000|4|4|2250
